ID_H1,ID,_FeH_plot,_Age_plot,_bin_center,_bin_med_age,_young_flag
NGC 104,NGC 104,-0.76,11.75,-0.75,11.25,False
NGC 288,NGC 288,-1.32,11.5,-1.35,11.5,False
NGC 362,NGC 362,-1.3,10.75,-1.35,11.5,False
NGC 1261,NGC 1261,-1.27,10.75,-1.35,11.5,False
NGC 1851,NGC 1851,-1.18,11.0,-1.15,11.5,False
NGC 2808,NGC 2808,-1.18,11.0,-1.15,11.5,False
NGC 3201,NGC 3201,-1.51,11.5,-1.5499999999999998,11.75,False
NGC 4147,NGC 4147,-1.78,12.25,-1.75,12.5,False
NGC 4590,NGC 4590,-2.27,12.0,-2.35,12.625,False
NGC 4833,NGC 4833,-1.89,12.5,-1.95,12.75,False
NGC 5053,NGC 5053,-2.3,12.25,-2.35,12.625,False
NGC 5272,NGC 5272,-1.5,11.75,-1.5499999999999998,11.75,False
NGC 5286,NGC 5286,-1.7,12.5,-1.75,12.5,False
NGC 5466,NGC 5466,-2.31,12.5,-2.35,12.625,False
NGC 5904,NGC 5904,-1.33,11.5,-1.35,11.5,False
NGC 5927,NGC 5927,-0.29,10.75,-0.35,11.25,False
NGC 5986,NGC 5986,-1.63,12.25,-1.5499999999999998,11.75,False
NGC 6121,NGC 6121,-1.18,11.5,-1.15,11.5,False
NGC 6101,NGC 6101,-1.98,12.25,-1.95,12.75,False
NGC 6144,NGC 6144,-1.82,12.75,-1.75,12.5,False
NGC 6205,NGC 6205,-1.58,12.0,-1.5499999999999998,11.75,False
NGC 6218,NGC 6218,-1.33,13.0,-1.35,11.5,False
NGC 6254,NGC 6254,-1.57,11.75,-1.5499999999999998,11.75,False
NGC 6304,NGC 6304,-0.37,11.25,-0.35,11.25,False
NGC 6341,NGC 6341,-2.35,12.75,-2.35,12.625,False
NGC 6352,NGC 6352,-0.62,10.75,-0.55,10.875,False
NGC 6366,NGC 6366,-0.59,11.0,-0.55,10.875,False
NGC 6362,NGC 6362,-1.07,12.5,-1.15,11.5,False
NGC 6397,NGC 6397,-1.99,13.0,-1.95,12.75,False
NGC 6496,NGC 6496,-0.46,10.75,-0.55,10.875,False
NGC 6535,NGC 6535,-1.79,12.75,-1.75,12.5,False
NGC 6541,NGC 6541,-1.82,12.5,-1.75,12.5,False
NGC 6584,NGC 6584,-1.5,11.75,-1.5499999999999998,11.75,False
NGC 6624,NGC 6624,-0.42,11.25,-0.35,11.25,False
NGC 6637,NGC 6637,-0.59,11.0,-0.55,10.875,False
NGC 6652,NGC 6652,-0.76,11.25,-0.75,11.25,False
NGC 6656,NGC 6656,-1.7,12.5,-1.75,12.5,False
NGC 6681,NGC 6681,-1.62,12.75,-1.5499999999999998,11.75,False
NGC 6715,NGC 6715,-1.44,11.75,-1.35,11.5,False
NGC 6717,NGC 6717,-1.26,12.5,-1.35,11.5,False
NGC 6723,NGC 6723,-1.1,12.5,-1.15,11.5,False
NGC 6752,NGC 6752,-1.55,12.5,-1.5499999999999998,11.75,False
NGC 6779,NGC 6779,-2.0,12.75,-1.95,12.75,False
NGC 6809,NGC 6809,-1.93,13.0,-1.95,12.75,False
NGC 6838,NGC 6838,-0.82,11.0,-0.75,11.25,False
NGC 6934,NGC 6934,-1.56,11.75,-1.5499999999999998,11.75,False
NGC 6981,NGC 6981,-1.48,11.5,-1.5499999999999998,11.75,False
NGC 7078,NGC 7078,-2.33,12.75,-2.35,12.625,False
NGC 7089,NGC 7089,-1.66,11.75,-1.75,12.5,False
NGC 7099,NGC 7099,-2.33,13.0,-2.35,12.625,False
